userId,userName
8275,10007634@N06
7032,100118886@N06
3092,10012675@N05
5530,10020489@N06
1458,100211911@N02
7300,100254508@N02
4651,10025855@N08
4912,10026386@N07
2099,100268396@N07
5578,100301150@N04
8390,100375247@N02
4128,100399986@N03
4754,10042276@N02
6599,100494673@N06
69,100500410@N03
2753,10052719@N02
3758,100538663@N03
5990,10058206@N07
4853,10058564@N06
4907,100586912@N07
7687,100620478@N03
2373,100623025@N08
1475,100664171@N07
324,10068260@N00
4099,100689906@N08
4665,10069023@N00
1087,100729456@N05
7768,10076387@N00
7361,10076455@N04
2310,100770366@N05
1753,10082200@N00
3272,10088550@N00
2301,100885839@N06
8718,100887623@N02
3342,10088862@N04
6837,10089084@N02
2815,100892683@N07
6325,100897076@N05
6019,100985337@N03
975,10100233@N04
595,101005263@N03
340,101005284@N03
4761,10102126@N06
4525,101021627@N05
6855,101028325@N07
7650,10103660@N08
2569,10104403@N00
9338,10113512@N07
8497,101138249@N03
7081,101141690@N05
8366,10121357@N03
3988,101220478@N04
7803,10123180@N04
3748,10125052@N00
7113,10131865@N02
8293,10136526@N00
704,101411026@N02
4691,101444706@N04
4194,101502543@N06
3821,101527565@N08
4063,10154711@N07
3627,10154815@N02
3875,10155443@N00
7073,10158602@N00
525,101606690@N07
2550,101641450@N02
7036,10164786@N00
8723,101710487@N02
8064,101727448@N02
90,101742748@N06
8447,101815516@N03
6928,10184936@N06
76,101888686@N05
7904,10189552@N02
2176,10199781@N08
4631,102017683@N04
67,10201805@N08
6948,10207524@N05
7422,10208972@N04
95,10209478@N03
1924,10216416@N00
3890,10218635@N06
3363,10235866@N07
4201,10235948@N05
6309,10238238@N08
1522,10241222@N00
6144,10244582@N00
8416,10246637@N04
1653,10256831@N05
2366,102575288@N08
6064,102629185@N04
1283,10267552@N00
9616,102700988@N03
5932,10271074@N07
4086,10286664@N03
932,10297518@N00
316,10299779@N03
2222,10304090@N08
1850,10305937@N08
9740,10306407@N04
2230,10306899@N03
1672,10307040@N08
4055,10317126@N08
9084,10318711@N00
398,10340578@N06
4373,10345599@N03
2347,10347442@N00
7975,103496842@N02
7935,10357368@N00
5106,103622886@N07
5827,10366327@N00
2085,10368715@N06
4942,103713563@N05
8772,103743993@N04
664,10374780@N02
3482,10383800@N08
2587,10388742@N00
6806,103916494@N04
585,10392797@N03
1853,10400983@N08
6927,10402637@N03
8360,10414814@N04
863,10418862@N03
3000,104218479@N03
2237,10427128@N00
1792,10429117@N00
8107,104300546@N06
3348,10435386@N07
7156,10444993@N02
4999,104512313@N07
9509,10451744@N06
4699,104605874@N02
3104,10464117@N05
6434,10470938@N08
4581,10479690@N00
1303,104840736@N05
2002,10485435@N06
2782,10486874@N08
2462,104902298@N03
9659,104952587@N03
5013,10501048@N00
2565,10502709@N05
5299,105094854@N02
1460,105106606@N05
5271,10512161@N00
677,10519936@N07
2429,105212713@N07
4171,10523850@N05
4411,10529631@N03
1339,10529841@N04
5154,105391338@N08
7388,10542810@N04
6479,105449713@N07
4123,105498794@N02
3827,10559879@N00
6501,10560956@N08
1352,10564935@N07
9578,105687363@N02
7971,10572659@N08
8700,105726655@N06
9565,10575231@N03
8348,10575475@N03
2853,10580512@N04
669,105902455@N06
2594,10590618@N07
2,10596458@N08
6248,10600292@N04
2135,10602166@N06
3689,10602697@N08
5897,10611153@N00
8905,10612972@N02
4822,106140504@N04
4656,10616199@N00
4057,10619717@N07
6492,106212845@N04
4015,10623456@N02
1635,10627620@N06
3694,10630381@N03
5894,10637191@N07
7794,10642333@N07
8091,10647023@N04
8985,10652115@N07
2364,10668787@N06
4828,10673523@N00
2572,10674156@N00
5427,10677920@N05
9164,106812633@N07
1885,10684196@N04
7728,10684969@N00
2303,10687935@N04
7173,10690724@N03
6178,10691789@N03
4632,106963474@N02
5100,10697382@N08
5538,107021480@N03
5333,10702447@N02
2908,107143015@N06
5340,107176113@N04
7228,10719231@N04
3658,107216056@N05
5915,10739750@N08
83,10742165@N08
9245,107476659@N03
956,10747684@N00
5686,10749923@N06
6251,10752753@N05
187,10753435@N05
915,107571364@N07
7477,107621779@N03
3908,10777431@N07
2423,10782329@N03
7642,108009473@N04
5627,108022673@N05
7668,10804507@N00
858,10807622@N00
6490,108094794@N07
6048,10809818@N05
3846,10816734@N03
1609,10820473@N05
3693,10826075@N08
3249,10828505@N07
3350,10835983@N06
4300,10838559@N00
6398,10850059@N05
1517,108502137@N06
1521,10857883@N05
7124,10859565@N06
8808,10863752@N00
7486,10867659@N00
830,10872369@N04
7368,10874922@N00
2759,10875820@N05
985,10883933@N07
3292,10883979@N08
89,10890283@N08
9299,10891136@N05
3278,10897362@N00
3070,10900061@N03
1033,10912301@N06
1092,10912911@N04
